Field,Goal,Skill Name,Skill Category
Ayurveda Clinical Practice,Ayurvedic Physician,Nadi Pariksha,TECHNICAL
Ayurveda Clinical Practice,Ayurvedic Physician,Dravyaguna,TECHNICAL
Ayurveda Clinical Practice,Ayurvedic Physician,Roga Nidana,TECHNICAL
Ayurveda Clinical Practice,Ayurvedic Physician,Ayurvedic Case Documentation,TECHNICAL
Ayurveda Clinical Practice,Ayurvedic Physician,Ashtavidha Pariksha,TECHNICAL
Ayurveda Clinical Practice,Ayurvedic Physician,Prakriti Assessment,TECHNICAL
Ayurveda Clinical Practice,Ayurvedic Physician,Kaya Chikitsa,TECHNICAL
Ayurveda Clinical Practice,Ayurvedic Physician,Patient Counseling,SOFT
Ayurveda Clinical Practice,Ayurvedic Physician,Cross-system Medical Communication,SOFT
Ayurveda Clinical Practice,Clinical Consultant,Nadi Pariksha,TECHNICAL
Ayurveda Clinical Practice,Clinical Consultant,Dravyaguna,TECHNICAL
Ayurveda Clinical Practice,Clinical Consultant,Roga Nidana,TECHNICAL
Ayurveda Clinical Practice,Clinical Consultant,Ayurvedic Case Documentation,TECHNICAL
Ayurveda Clinical Practice,Clinical Consultant,Ashtavidha Pariksha,TECHNICAL
Ayurveda Clinical Practice,Clinical Consultant,Prakriti Assessment,TECHNICAL
Ayurveda Clinical Practice,Clinical Consultant,Kaya Chikitsa,TECHNICAL
Ayurveda Clinical Practice,Clinical Consultant,Patient Counseling,SOFT
Ayurveda Clinical Practice,Clinical Consultant,Cross-system Medical Communication,SOFT
Ayurveda Clinical Practice,Wellness Practitioner,Nadi Pariksha,TECHNICAL
Ayurveda Clinical Practice,Wellness Practitioner,Dravyaguna,TECHNICAL
Ayurveda Clinical Practice,Wellness Practitioner,Roga Nidana,TECHNICAL
Ayurveda Clinical Practice,Wellness Practitioner,Ayurvedic Case Documentation,TECHNICAL
Ayurveda Clinical Practice,Wellness Practitioner,Ashtavidha Pariksha,TECHNICAL
Ayurveda Clinical Practice,Wellness Practitioner,Prakriti Assessment,TECHNICAL
Ayurveda Clinical Practice,Wellness Practitioner,Kaya Chikitsa,TECHNICAL
Ayurveda Clinical Practice,Wellness Practitioner,Patient Counseling,SOFT
Ayurveda Clinical Practice,Wellness Practitioner,Cross-system Medical Communication,SOFT
Panchakarma Therapy,Panchakarma Specialist,Vamana & Virechana Techniques,TECHNICAL
Panchakarma Therapy,Panchakarma Specialist,Basti Therapy,TECHNICAL
Panchakarma Therapy,Panchakarma Specialist,Abhyanga,TECHNICAL
Panchakarma Therapy,Panchakarma Specialist,Snehana & Swedana,TECHNICAL
Panchakarma Therapy,Panchakarma Specialist,Detox Protocol Planning,TECHNICAL
Panchakarma Therapy,Panchakarma Specialist,Nasya Therapy,TECHNICAL
Panchakarma Therapy,Panchakarma Specialist,Raktamokshana,TECHNICAL
Panchakarma Therapy,Panchakarma Specialist,Pre/Post Procedure Care,SOFT
Panchakarma Therapy,Panchakarma Specialist,Patient Safety Monitoring,SOFT
Panchakarma Therapy,Detox Therapist,Vamana & Virechana Techniques,TECHNICAL
Panchakarma Therapy,Detox Therapist,Basti Therapy,TECHNICAL
Panchakarma Therapy,Detox Therapist,Abhyanga,TECHNICAL
Panchakarma Therapy,Detox Therapist,Snehana & Swedana,TECHNICAL
Panchakarma Therapy,Detox Therapist,Detox Protocol Planning,TECHNICAL
Panchakarma Therapy,Detox Therapist,Nasya Therapy,TECHNICAL
Panchakarma Therapy,Detox Therapist,Raktamokshana,TECHNICAL
Panchakarma Therapy,Detox Therapist,Pre/Post Procedure Care,SOFT
Panchakarma Therapy,Detox Therapist,Patient Safety Monitoring,SOFT
Panchakarma Therapy,Ayurvedic Therapy Consultant,Vamana & Virechana Techniques,TECHNICAL
Panchakarma Therapy,Ayurvedic Therapy Consultant,Basti Therapy,TECHNICAL
Panchakarma Therapy,Ayurvedic Therapy Consultant,Abhyanga,TECHNICAL
Panchakarma Therapy,Ayurvedic Therapy Consultant,Snehana & Swedana,TECHNICAL
Panchakarma Therapy,Ayurvedic Therapy Consultant,Detox Protocol Planning,TECHNICAL
Panchakarma Therapy,Ayurvedic Therapy Consultant,Nasya Therapy,TECHNICAL
